State,Population
Alabama,248
Alaska,104
Arizona,737
Arkansas,137
California,20342
Colorado,1014
Connecticut,7847
Delaware,551
District of Columbia,461
Florida,4730
Georgia,449
Hawaii,137
Idaho,214
Illinois,19579
Indiana,1291
Iowa,1227
Kansas,630
Kentucky,410
Louisiana,421
Maine,848
Maryland,2374
Massachusetts,33967
Michigan,3726
Minnesota,1547
Mississippi,106
Missouri,2011
Montana,685
Nebraska,629
Nevada,258
New Hampshire,1096
New Jersey,18186
New Mexico,223
New York,93818
North Carolina,325
North Dakota,162
Ohio,4932
Oklahoma,310
Oregon,932
Pennsylvania,14971
Rhode Island,2735
South Carolina,173
South Dakota,257
Tennessee,271
Texas,1578
Utah,184
Vermont,399
Virginia,1321
Washington,1724
West Virginia,226
Wisconsin,1226
Wyoming,138
