State,Population
Alabama,809
Arizona,1206
Arkansas,676
California,45308
Colorado,6191
Connecticut,45464
Delaware,2895
District of Columbia,4320
Florida,1304
Georgia,1112
Idaho,1410
Illinois,74274
Indiana,7271
Iowa,10686
Kansas,4825
Kentucky,3422
Louisiana,2000
Maine,5748
Maryland,6580
Massachusetts,183172
Michigan,16531
Minnesota,10289
Mississippi,412
Missouri,15022
Montana,7260
Nebraska,5422
Nevada,970
New Hampshire,7908
New Jersey,65971
New York,284747
North Carolina,301
North Dakota,1660
Ohio,29262
Oklahoma,1321
Oregon,4203
Pacific,58438
Pennsylvania,121601
Rhode Island,22253
South Carolina,442
South Dakota,1954
Tennessee,1291
Texas,4333
Utah,1207
Vermont,2884
Virginia,1732
Washington,8927
West Virginia,1459
Wisconsin,7809
Wyoming,956
