State,Population
Alabama,248.56
Alaska,104.52
Arizona,737.1
Arkansas,137.28
California,20342
Colorado,1014.52
Connecticut,7847.58
Delaware,551.72
District of Columbia,461.89
Florida,4730.57
Georgia,449.93
Hawaii,137.28
Idaho,214.89
Illinois,19579
Indiana,1291.03
Iowa,1227.33
Kansas,630.76
Kentucky,410.28
Louisiana,421.2
Maine,848.64
Maryland,2374.71
Massachusetts,33967
Michigan,3726.71
Minnesota,1547
Mississippi,106.08
Missouri,2011.1
Montana,685.62
Nebraska,629.98
Nevada,258.83
New Hampshire,1096.68
New Jersey,18186
New Mexico,223.34
New York,93818
North Carolina,325.78
North Dakota,162.24
Ohio,4932.33
Oklahoma,310.18
Oregon,932.75
Pennsylvania,14971
Rhode Island,2735.33
South Carolina,173.68
South Dakota,257.4
Tennessee,271.31
Texas,1578.59
Utah,184.08
Vermont,399.23
Virginia,1321.06
Washington,1724.58
West Virginia,226.46
Wisconsin,1226.29
Wyoming,138.58
