State,Population
Maine,4115
New Hampshire,5817
Vermont,1806
Massachusetts,158744
Rhode Island,17740
Connecticut,38418
New York,293225
New Jersey,63236
Pennsylvania,97600
Ohio,22907
Indiana,4976
Illinois,67262
Michigan,17528
Wisconsin,4530
Minnesota,6498
Iowa,5957
Missouri,9869
North Dakota,1192
South Dakota,1213
Nebraska,3303
Kansas,1801
Delaware,2264
Maryland,4845
District of Columbia,3519
Virginia,1164
West Virginia,881
North Carolina,316
South Carolina,275
Georgia,693
Florida,1843
Kentucky,1847
Tennessee,651
Alabama,575
Mississippi,252
Arkansas,454
Louisiana,1204
Oklahoma,952
Texas,3523
Montana,5045
Idaho,900
Wyoming,763
Colorado,4084
New Mexico,309
Arizona,888
Utah,818
Nevada,559
Washington,7096
Oregon,3841
California,45385
Alaska,
Hawaii,
