years,place,lat,lon
1792,Alabama,32.806671,-86.79113
677,Alaska,61.370716,-152.404419
1159,Arizona,33.729759,-111.431221
1345,Arkansas,34.969704,-92.373123
44476,California,36.116203,-119.681564
10132,Colorado,39.059811,-105.311104
