State,Population
Alabama,345
Alaska,148
Arizona,912
Arkansas,222
California,22184
Colorado,1675
Connecticut,14327
Delaware,897
District of Columbia,1277
Florida,5148
Georgia,549
Hawaii,190
Idaho,335
Illinois,24693
Indiana,2431
Iowa,2698
Kansas,1471
Kentucky,926
Louisiana,793
Maine,1568
Maryland,3510
Massachusetts,52471
Michigan,6560
Minnesota,3032
Mississippi,201
Missouri,4134
Montana,1371
Nebraska,1329
Nevada,339
New Hampshire,1940
New Jersey,25669
New Mexico,307
New York,93487
North Carolina,436
North Dakota,328
Ohio,9661.12
Oklahoma,549
Oregon,1621
Pennsylvania,29174
Rhode Island,5449
South Carolina,311
South Dakota,471
Tennessee,494
Texas,2463
Utah,311.98
Vermont,713
Virginia,1621
Washington,2872
West Virginia,519
Wisconsin,2489
Wyoming,280
