State,Population
Alabama,1167
Alaska,
Arizona,1550
Arkansas,1079
California,52478
Colorado,8710
Connecticut,58458
Delaware,3985
District of Columbia,5347
Florida,1069
Georgia,1655
Hawaii,
Idaho,1782
Illinois,93455
Indiana,11266
Iowa,17756
Kansas,8100
Kentucky,5914
Louisiana,3757
Maine,7890
Maryland,9705
Massachusetts,222867
Michigan,20434
Minnesota,12130
Mississippi,747
Missouri,23297
Montana,9469
Nebraska,8124
Nevada,1702
New Hampshire,10613
New Jersey,82758
New Mexico,
New York,367889
North Carolina,306
North Dakota,2498
Ohio,40062
Oklahoma,1801
Oregon,4995
Pennsylvania,165109
Rhode Island,29718
South Carolina,676
South Dakota,2980
Tennessee,2296
Texas,5357
Utah,1657
Vermont,4940
Virginia,2450
Washington,10180
West Virginia,2292
Wisconsin,14049
Wyoming,1359
