State,Population
Utah,100
Oregon,196
Minnesota,271
New Mexico,292
Arkansas,514
North Carolina,567
Florida,878
Texas,1403
Mississippi,1928
District of Columbia,2373
California,2452
Tennessee,2846
Georgia,3202
Delaware,3513
Alabama,3639
South Carolina,4051
Iowa,4885
New Hampshire,8811
Kentucky,9465
Indiana,12787
Michigan,13430
Maine,13871
Missouri,14734
Vermont,15377
Maryland,19557
Wisconsin,21043
Louisiana,24266
Rhode Island,25944
Connecticut,26680
Illinois,27786
New Jersey,31092
Virginia,31643
Ohio,51562
Massachusetts,115917
Pennsylvania,151723
New York,343111
North Dakota,-
South Dakota,-
Nebraska,-
Kansas,-
West Virginia,-
Oklahoma,-
Montana,-
Idaho,-
Wyoming,-
Colorado,-
Arizona,-
Nevada,-
Washington,-
Alaska,
Hawaii,
