State,Population
Alabama,5664
Alaska,
Arizona,-
Arkansas,1312
California,33147
Colorado,-
Connecticut,55445
Delaware,5832
District of Columbia,7258
Florida,827
Georgia,6586
Hawaii,
Idaho,-
Illinois,87573
Indiana,24495
Iowa,28072
Kansas,3888
Kentucky,22249
Louisiana,28207
Maine,15290
Maryland,24872
Massachusetts,185434
Michigan,30049
Minnesota,12831
Mississippi,3893
Missouri,43464
Montana,-
Nebraska,-
Nevada,-
New Hampshire,12737
New Jersey,62006
New Mexico,-
New York,498072
North Carolina,889
North Dakota,-
Ohio,76826
Oklahoma,-
Oregon,1266
Pennsylvania,201939
Rhode Island,25285
South Carolina,4906
South Dakota,-
Tennessee,12498
Texas,3480
Utah,-
Vermont,13480
Virginia,16501
Washington,-
West Virginia,-
Wisconsin,49961
Wyoming,-
