State,Population
Alabama,2968
Alaska,
Arizona,1296
Arkansas,2432
California,62962
Colorado,8263
Connecticut,70638
Delaware,5791
District of Columbia,7849
Florida,652
Georgia,4148
Hawaii,
Idaho,981
Illinois,117348
Indiana,25741
Iowa,44061
Kansas,14993
Kentucky,18256
Louisiana,13807
Maine,13421
Maryland,21865
Massachusetts,226700
Michigan,43413
Minnesota,25942
Mississippi,2753
Missouri,48898
Montana,2408
Nebraska,10133
Nevada,5191
New Hampshire,18052
New Jersey,93979
New Mexico,795
New York,499445
North Carolina,611
North Dakota,4104
Ohio,78927
Oklahoma,-
Oregon,3659
Pennsylvania,236505
Rhode Island,35281
South Carolina,2626
South Dakota,
Tennessee,5975
Texas,8103
Utah,1321
Vermont,11657
Virginia,4835
Washington,2243
West Virginia,6459
Wisconsin,41907
Wyoming,1093
