State,Population
Alabama,3893
Alaska,
Arizona,495
Arkansas,1428
California,54421
Colorado,1685
Connecticut,70630
Delaware,5967
District of Columbia,8218
Florida,737
Georgia,5093
Hawaii,
Idaho,986
Illinois,129162
Indiana,28698
Iowa,40124
Kansas,10940
Kentucky,21642
Louisiana,17068
Maine,15745
Maryland,23630
Massachusetts,216120
Michigan,42013
Minnesota,21746
Mississippi,3359
Missouri,54983
Montana,1635
Nebraska,4999
Nevada,5035
New Hampshire,12190
New Jersey,86784
New Mexico,543
New York,528806
North Carolina,677
North Dakota,888
Ohio,82674
Oklahoma,-
Oregon,1967
Pennsylvania,235798
Rhode Island,31534
South Carolina,3262
South Dakota,
Tennessee,8048
Texas,4031
Utah,502
Vermont,14080
Virginia,5191
Washington,1047
West Virginia,6832
Wisconsin,48479
Wyoming,1102
