State,Population
Maine,3094
New Hampshire,3896
Vermont,1043
Massachusetts,113924
Rhode Island,12073
Connecticut,27554
New York,235755
New Jersey,44702
Pennsylvania,65736
Ohio,15234
Indiana,3198
Illinois,48606
Michigan,11906
Wisconsin,2744
Minnesota,4210
Iowa,3418
Missouri,6258
North Dakota,693
South Dakota,720
Nebraska,1851
Kansas,1475
Delaware,1646
Maryland,3383
District of Columbia,2758
Virginia,807
West Virginia,542
North Carolina,277
South Carolina,182
Georgia,490
Florida,2237
Kentucky,993
Tennessee,398
Alabama,357
Mississippi,194
Arkansas,277
Louisiana,811
Oklahoma,478
Texas,2610
Montana,3267
Idaho,563
Wyoming,552
Colorado,2518
New Mexico,193
Arizona,621
Utah,455
Nevada,398
Washington,5087
Oregon,2760
California,34799
Alaska,
Hawaii,
